"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"";"DIODE-SOD123";"SOD123";"D1, D2";"DIODE";"";
"3";"";"LED3MM";"LED3MM";"LED7, LED8, LED9";"LED";"";
"2";"0.1uF";"C-EUC0603";"C0603";"C1, C2";"CAPACITOR, European symbol";"";
"2";"220R";"R-EU_R0603";"R0603";"R3, R8";"RESISTOR, European symbol";"";
"12";"470R";"R-EU_R0603";"R0603";"R2, R5, R6, R7, R10, R12, R13, R14, R15, R16, R17, R18";"RESISTOR, European symbol";"";
"4";"47R";"R-EU_R0603";"R0603";"R1, R4, R9, R11";"RESISTOR, European symbol";"";
"1";"614004190021";"614004190021";"614004190021";"USB-HUB";"USB TYPE A UP RIGHT THT - SHORT TYPE=>ConUSB2 614004190021";"";
"2";"6N138";"6N138";"DIP08-SMD";"OK1, OK2";"";"";
"4";"ADAFRUIT-5PIN-DIN";"ADAFRUIT-5PIN-DIN";"ADAFRUIT-5PIN-DIN";"MIDI1-IN, MIDI1-OUT, MIDI2-IN, MIDI2-OUT";"5 Position Circular Connector Receptacle, Female Sockets Solder  Check prices";"";
"3";"D6RLBUF1LFS";"D6RLBUF1LFS";"D6RL";"BUTTON1, BUTTON2, BUTTON3";"Pushbutton Switch SPST-NO Keyswitch Through Hole Check prices";"";
"3";"D6RLGNF1LFS";"D6RLGNF1LFS";"D6RL";"BUTTON4, BUTTON5, BUTTON6";"Pushbutton Switch SPST-NO Keyswitch Through Hole Check prices";"";
"1";"D6RLWHF1LFS";"D6RLWHF1LFS";"D6RL";"BUTTON7";"Pushbutton Switch SPST-NO Keyswitch Through Hole Check prices";"";
"3";"DFR0647";"DFR0647";"DFR0647";"DISPLAY1, DISPLAY2, DISPLAY3";"";"";
"3";"PEC16";"PEC16";"PEC16";"ENCODER1, ENCODER2, ENCODER3";"Encoder 12mm 0detents 20mm Shft Push Momentry Sw 24 Pulse Check prices";"";
"1";"TEENSY4.1";"TEENSY4.1";"TEENSY4.1";"TEENSY-41";"";"";
